,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
104953,607,spain,male,31.0,2,0.0,2,1.0,0.0,177626.09,0
95519,699,france,female,36.0,7,0.0,2,0.0,0.0,108098.28,0
23581,659,spain,male,25.0,9,0.0,2,1.0,0.0,121537.06,0
16032,659,spain,female,30.0,8,0.0,2,1.0,0.0,28269.86,0
79448,684,france,male,37.0,8,0.0,2,1.0,1.0,172097.95,0
2615,564,france,male,40.0,4,117707.18,1,1.0,0.0,143433.33,0
98937,658,france,male,38.0,3,0.0,1,1.0,1.0,104469.06,0
63900,572,germany,male,41.0,4,145578.28,1,1.0,1.0,12096.61,0
62601,728,france,female,40.0,5,110480.48,1,1.0,0.0,81292.33,0
62050,577,france,male,25.0,8,0.0,2,1.0,1.0,124508.29,0
55723,681,germany,male,32.0,4,127515.06,2,1.0,0.0,131533.75,0
24083,739,france,male,36.0,3,0.0,2,1.0,0.0,131402.02,0
34779,695,france,male,33.0,9,0.0,2,0.0,1.0,26318.88,0
63482,620,france,female,33.0,3,0.0,2,0.0,1.0,131752.57,0
31189,757,france,male,34.0,7,0.0,1,1.0,0.0,151924.9,0
33987,713,france,female,52.0,0,185891.54,1,1.0,1.0,46369.57,0
74979,567,france,male,26.0,6,0.0,2,1.0,0.0,157862.82,0
19005,558,france,male,41.0,5,0.0,2,1.0,1.0,96881.1,0
1217,692,spain,female,37.0,1,0.0,2,1.0,1.0,121249.43,0
81127,704,germany,female,34.0,2,92787.86,2,1.0,0.0,55601.79,0
77759,565,spain,female,21.0,10,0.0,2,0.0,1.0,173365.89,0
79340,520,france,female,33.0,6,0.0,2,1.0,1.0,34410.55,0
15463,771,spain,male,25.0,8,96950.21,1,1.0,0.0,97877.92,0
109983,554,france,female,33.0,4,0.0,2,1.0,0.0,77475.73,0
97916,646,germany,male,66.0,2,134560.62,2,1.0,1.0,113860.81,0
6854,832,germany,female,41.0,5,107648.94,2,1.0,1.0,134638.97,0
45260,567,france,male,37.0,5,0.0,2,1.0,0.0,180613.04,0
17085,773,germany,male,40.0,3,95556.36,1,1.0,0.0,44965.44,0
2253,704,france,female,36.0,2,0.0,1,1.0,1.0,156655.11,0
19299,718,spain,female,29.0,10,0.0,2,1.0,1.0,82796.22,0
13378,705,spain,female,25.0,3,122874.36,1,1.0,0.0,119903.2,0
59523,584,france,male,41.0,5,148074.69,1,1.0,1.0,138528.32,0
101680,737,france,female,36.0,8,0.0,2,0.0,1.0,191557.1,0
95857,736,spain,female,42.0,7,0.0,2,1.0,1.0,60905.51,0
72494,675,spain,female,39.0,1,0.0,2,1.0,1.0,153129.22,0
29115,743,france,female,32.0,4,0.0,2,1.0,1.0,76637.38,0
90081,663,france,male,36.0,2,128663.9,1,0.0,0.0,62903.44,0
10127,499,germany,female,38.0,4,126817.65,1,1.0,0.0,123269.71,0
105313,708,spain,female,35.0,7,0.0,2,1.0,1.0,82967.97,0
22216,670,france,female,37.0,1,0.0,1,1.0,1.0,177655.68,0
70850,764,france,female,24.0,7,0.0,2,1.0,0.0,186105.99,0
88129,615,france,male,41.0,5,121250.04,1,1.0,0.0,48849.89,0
48387,754,spain,male,29.0,8,0.0,2,1.0,1.0,48986.18,0
53140,748,france,male,32.0,3,0.0,1,1.0,1.0,188083.77,0
42407,677,spain,male,36.0,1,0.0,1,1.0,1.0,67734.09,0
51694,634,france,male,30.0,8,147737.05,1,0.0,1.0,175843.69,0
11327,720,france,male,44.0,4,86102.27,1,1.0,0.0,180134.88,0
86204,659,france,male,35.0,8,0.0,2,1.0,1.0,6382.46,0
69810,721,spain,male,33.0,2,0.0,2,1.0,1.0,142783.98,0
63887,599,spain,female,38.0,3,0.0,1,1.0,0.0,106652.45,0
33768,608,germany,female,38.0,1,89122.3,1,1.0,1.0,111605.9,0
114720,535,france,male,29.0,5,0.0,2,1.0,1.0,50839.85,0
35240,695,france,female,46.0,2,0.0,1,1.0,1.0,71047.51,0
32038,748,spain,female,38.0,5,122550.53,1,1.0,0.0,170821.43,0
30300,781,france,male,46.0,3,116084.32,1,1.0,1.0,137537.22,0
43174,624,france,female,37.0,3,0.0,2,1.0,0.0,112554.68,0
69493,584,spain,male,26.0,9,0.0,2,1.0,0.0,44965.57,0
39948,673,france,male,29.0,5,0.0,2,1.0,0.0,62634.94,0
46064,850,spain,female,29.0,2,128551.32,1,1.0,0.0,102930.46,0
81584,737,france,male,45.0,9,0.0,1,1.0,0.0,165571.56,0
27716,597,france,male,27.0,3,131778.08,1,1.0,1.0,158054.49,0
11676,748,germany,male,26.0,8,131357.59,1,1.0,0.0,121789.3,0
111508,596,france,female,36.0,3,0.0,2,1.0,1.0,71154.1,0
66981,597,spain,female,40.0,8,101993.12,2,1.0,0.0,94774.12,0
72333,602,france,male,38.0,0,191808.73,1,0.0,1.0,97640.2,0
36746,714,spain,female,52.0,5,86893.28,1,1.0,0.0,31726.76,0
60248,608,germany,male,33.0,8,89968.69,1,1.0,1.0,68777.26,0
22695,653,france,male,45.0,8,120729.86,1,1.0,1.0,24402.77,0
110075,850,germany,male,40.0,9,124954.95,2,1.0,1.0,35230.61,0
42133,707,germany,female,35.0,2,76963.34,2,1.0,1.0,179964.83,0
6148,633,france,male,32.0,4,0.0,1,1.0,0.0,100598.98,0
42228,668,france,male,37.0,9,0.0,2,0.0,0.0,130846.79,0
46725,582,france,male,30.0,2,0.0,1,1.0,0.0,24506.95,0
33154,718,france,male,48.0,9,0.0,2,0.0,1.0,167773.75,0
14769,573,spain,female,34.0,9,125321.84,2,1.0,1.0,130234.63,0
14457,646,spain,female,31.0,1,0.0,2,0.0,0.0,180962.36,0
89321,587,france,male,40.0,6,0.0,2,1.0,1.0,179638.75,0
51653,677,spain,male,37.0,8,0.0,2,1.0,1.0,131713.44,0
16351,563,france,male,33.0,7,138497.84,1,0.0,1.0,68815.05,0
89294,803,france,female,36.0,7,0.0,2,1.0,1.0,114448.2,0
78004,639,spain,male,32.0,5,0.0,2,1.0,0.0,52795.16,0
42507,685,france,female,32.0,2,0.0,2,0.0,0.0,26327.31,0
98254,657,spain,female,43.0,7,172360.55,1,1.0,1.0,160524.41,0
88061,531,france,male,34.0,6,0.0,2,1.0,0.0,166467.31,0
63540,696,spain,male,44.0,5,0.0,2,1.0,0.0,66462.79,0
61038,537,spain,female,37.0,1,145807.59,1,1.0,0.0,150802.41,0
75580,662,france,male,27.0,10,176227.07,2,1.0,1.0,139481.53,0
57925,714,france,male,61.0,4,0.0,1,0.0,0.0,173386.94,0
52873,662,france,female,44.0,3,0.0,2,1.0,0.0,129964.09,0
7526,731,france,male,43.0,1,0.0,2,1.0,1.0,162428.05,0
56393,725,france,male,33.0,9,0.0,2,0.0,0.0,181177.9,0
10902,567,spain,male,41.0,0,127289.28,1,1.0,0.0,45610.63,0
8574,584,france,female,42.0,3,137479.13,1,1.0,0.0,25669.1,0
14993,710,spain,male,42.0,5,0.0,1,0.0,1.0,53410.18,0
22612,743,spain,male,38.0,6,0.0,2,1.0,1.0,62322.36,0
87355,713,france,female,36.0,8,133889.35,1,1.0,1.0,143265.65,0
91205,750,france,male,36.0,5,0.0,2,1.0,1.0,94811.45,0
32534,681,spain,female,40.0,8,158978.79,1,1.0,0.0,178045.97,0
46998,590,france,male,31.0,3,0.0,2,1.0,0.0,176750.81,0
55618,750,france,female,38.0,3,0.0,2,1.0,1.0,141557.05,0
13401,651,france,male,31.0,10,0.0,1,1.0,1.0,115818.51,0
6151,768,spain,male,39.0,0,111938.73,1,1.0,0.0,27468.01,0
87719,703,france,male,32.0,10,141267.67,2,1.0,0.0,167848.02,0
100843,738,spain,female,29.0,1,68891.8,1,1.0,1.0,123693.82,0
17479,596,germany,female,33.0,4,142400.77,1,1.0,0.0,147797.54,0
35906,603,spain,male,29.0,5,0.0,2,0.0,1.0,34453.17,0
58759,694,france,female,32.0,8,0.0,1,1.0,1.0,126761.2,0
66579,633,france,male,29.0,3,0.0,2,0.0,1.0,93839.6,0
55011,659,spain,female,42.0,6,0.0,2,1.0,0.0,90437.87,0
100926,728,germany,male,34.0,1,105599.28,1,0.0,0.0,93983.97,0
75317,590,france,male,37.0,7,0.0,2,0.0,0.0,147720.27,0
59086,691,france,male,42.0,8,161651.37,1,1.0,1.0,131753.97,0
37624,673,france,male,36.0,4,0.0,2,1.0,1.0,90896.04,0
42602,567,france,female,34.0,10,0.0,2,1.0,0.0,86791.9,0
115054,613,spain,female,33.0,5,145580.61,1,1.0,0.0,154598.56,0
111364,818,france,male,37.0,2,0.0,2,1.0,1.0,83978.86,0
107335,709,france,male,40.0,5,82656.18,1,1.0,0.0,99347.49,0
359,600,spain,female,28.0,10,0.0,2,1.0,0.0,143635.36,0
7434,614,france,male,42.0,5,0.0,2,1.0,1.0,74900.9,0
43314,595,france,male,41.0,4,0.0,2,1.0,1.0,105352.55,0
98997,581,france,male,32.0,9,0.0,1,1.0,1.0,3896.08,0
79546,637,france,male,32.0,4,110559.46,2,1.0,1.0,127429.56,0
106238,817,germany,male,31.0,5,139096.85,2,1.0,0.0,193408.43,0
88793,676,france,male,34.0,8,0.0,2,1.0,1.0,133692.88,0
43565,717,germany,male,31.0,9,101713.84,1,0.0,1.0,134594.99,0
11426,540,spain,male,27.0,4,0.0,2,1.0,1.0,186233.26,0
77548,543,germany,female,35.0,2,114957.22,2,0.0,0.0,64443.75,0
96442,576,spain,male,36.0,4,0.0,1,0.0,1.0,58320.84,0
96711,625,spain,male,28.0,1,0.0,2,1.0,1.0,72678.92,0
87368,823,france,male,40.0,9,167738.82,1,1.0,0.0,177028.0,0
18936,663,germany,female,31.0,6,94684.27,2,1.0,1.0,93524.22,0
94621,773,france,male,29.0,4,0.0,2,1.0,1.0,193502.93,0
66174,598,germany,female,36.0,4,106804.4,2,1.0,0.0,60420.07,0
82892,614,germany,male,38.0,5,93360.41,2,1.0,0.0,94722.24,0
100156,762,france,female,50.0,3,0.0,1,0.0,1.0,523.0,0
97865,669,germany,male,36.0,5,128707.73,2,0.0,0.0,138531.08,0
55124,678,france,female,38.0,8,0.0,2,0.0,0.0,110527.71,0
87545,693,france,male,46.0,2,0.0,1,0.0,1.0,35982.42,0
101419,687,france,male,36.0,6,0.0,2,1.0,0.0,129964.94,0
31329,738,france,female,43.0,8,0.0,1,0.0,0.0,52534.81,0
55810,728,france,female,35.0,8,0.0,2,1.0,0.0,176779.46,0
104571,728,france,female,43.0,1,97764.54,2,1.0,1.0,1375.44,0
74698,775,germany,female,29.0,2,92895.56,1,1.0,0.0,154344.0,0
2785,642,france,male,37.0,9,0.0,2,1.0,1.0,106564.88,0
81640,679,france,female,39.0,2,0.0,1,1.0,1.0,60920.03,0
49401,544,france,male,31.0,1,118560.55,2,0.0,1.0,164137.36,0
28438,517,germany,male,59.0,8,154110.99,2,1.0,1.0,101240.08,0
62024,466,france,male,36.0,6,0.0,2,1.0,1.0,85518.07,0
46945,556,france,male,33.0,1,0.0,1,1.0,0.0,140166.95,0
50239,699,france,male,30.0,5,0.0,2,1.0,0.0,130836.97,0
35698,570,germany,male,29.0,1,122028.65,2,1.0,1.0,173792.77,0
68727,696,france,male,25.0,3,0.0,2,1.0,0.0,157794.24,0
50891,703,france,male,33.0,2,0.0,2,1.0,1.0,60908.52,0
35836,651,spain,female,38.0,1,132623.6,1,1.0,1.0,186778.89,0
60521,721,france,male,42.0,8,0.0,2,1.0,1.0,71173.64,0
68082,762,france,male,33.0,3,164701.68,1,1.0,1.0,167931.81,0
84237,646,spain,female,51.0,2,101629.3,1,0.0,0.0,130541.1,0
18691,699,france,female,43.0,3,80764.03,1,1.0,0.0,199378.58,0
10316,598,spain,female,46.0,9,0.0,2,0.0,0.0,81014.5,0
94934,661,spain,male,20.0,8,0.0,1,1.0,1.0,110252.53,0
51430,653,france,female,33.0,9,0.0,2,1.0,1.0,124489.88,0
45881,686,germany,female,28.0,4,127286.74,1,1.0,0.0,168515.72,0
10486,681,france,male,32.0,5,0.0,2,1.0,1.0,51380.8,0
21585,497,france,male,41.0,5,0.0,2,0.0,1.0,88729.22,0
35042,735,spain,male,39.0,9,0.0,2,1.0,0.0,136675.22,0
63694,547,spain,female,33.0,2,0.0,2,0.0,1.0,5459.07,0
15561,667,france,female,34.0,9,0.0,2,1.0,0.0,93713.13,0
33045,542,spain,female,22.0,8,0.0,2,0.0,0.0,2465.8,0
51732,554,spain,female,36.0,8,0.0,2,0.0,0.0,152497.85,0
4175,803,france,male,34.0,5,0.0,2,0.0,0.0,79082.62,0
32990,710,spain,female,46.0,7,0.0,1,1.0,0.0,180595.02,0
23040,587,france,male,34.0,8,0.0,1,1.0,0.0,116469.35,0
3894,685,france,male,29.0,3,0.0,2,0.0,0.0,116547.58,0
37421,798,france,male,34.0,4,0.0,2,1.0,0.0,108419.41,0
52301,554,france,female,38.0,1,0.0,2,1.0,1.0,87363.56,0
16062,605,germany,male,40.0,3,101528.61,1,1.0,1.0,131283.7,0
87101,675,france,female,36.0,5,0.0,2,1.0,1.0,44147.95,0
71164,849,germany,female,23.0,5,110837.73,1,1.0,0.0,126419.8,0
51344,590,france,male,37.0,6,0.0,2,1.0,1.0,72462.25,0
61373,595,france,female,26.0,9,0.0,2,1.0,0.0,178267.03,0
18572,739,spain,male,33.0,1,109681.61,1,1.0,1.0,193321.3,0
111038,637,france,male,34.0,9,0.0,1,1.0,0.0,117622.8,0
38724,609,france,male,35.0,4,0.0,2,1.0,1.0,114190.3,0
26362,689,germany,male,43.0,5,125860.2,2,1.0,1.0,82709.8,0
83229,751,france,male,32.0,9,0.0,2,1.0,0.0,89892.75,0
53160,581,france,female,45.0,5,0.0,1,1.0,0.0,129826.15,0
37042,560,spain,male,28.0,3,116576.45,1,0.0,0.0,157567.37,0
79255,723,spain,male,30.0,3,0.0,2,1.0,0.0,67997.13,0
35723,633,germany,female,28.0,2,137560.29,1,1.0,0.0,52896.85,0
7389,708,france,female,34.0,4,0.0,2,1.0,1.0,62868.33,0
10615,705,france,female,38.0,6,144432.04,1,1.0,1.0,73963.17,0
95824,757,spain,male,29.0,4,0.0,2,1.0,0.0,167023.95,0
8595,677,france,male,24.0,4,0.0,2,1.0,1.0,17095.49,0
96803,543,france,male,38.0,6,0.0,2,1.0,1.0,176924.21,0
115189,556,spain,male,35.0,6,115680.58,1,1.0,1.0,141246.99,0
35884,687,france,female,34.0,3,0.0,2,1.0,0.0,87412.23,0
36243,763,france,male,23.0,2,0.0,2,1.0,1.0,153983.99,0
38400,638,france,male,33.0,9,0.0,2,1.0,1.0,176868.89,0
67010,611,france,male,33.0,4,0.0,1,1.0,0.0,162860.02,0
77114,727,spain,male,58.0,1,0.0,2,1.0,1.0,50899.91,0
111233,681,france,male,38.0,9,107379.68,1,1.0,0.0,181224.56,0
87418,641,france,male,43.0,8,132412.56,1,1.0,0.0,127033.07,0
80679,682,france,female,29.0,6,0.0,2,1.0,1.0,187987.12,0
85295,753,france,male,36.0,6,0.0,2,1.0,0.0,62373.51,0
85161,753,spain,male,35.0,4,0.0,2,1.0,1.0,159822.66,0
44309,681,spain,female,38.0,8,97893.2,1,1.0,1.0,54144.01,0
84571,706,france,female,24.0,7,0.0,2,1.0,0.0,116160.04,0
7662,708,france,male,35.0,3,0.0,2,0.0,1.0,141426.78,0
101312,691,france,male,28.0,1,0.0,1,1.0,1.0,95611.47,0
81439,683,france,male,32.0,7,113599.74,1,1.0,1.0,147545.65,0
62569,711,spain,male,29.0,1,97541.24,1,1.0,0.0,196356.17,0
87670,850,spain,male,28.0,9,206014.94,2,0.0,1.0,42774.84,0
61790,516,france,male,41.0,7,0.0,2,1.0,1.0,143980.69,0
33716,637,spain,female,39.0,5,116936.81,1,1.0,1.0,166682.57,0
94203,590,spain,male,39.0,2,127763.24,1,1.0,0.0,10070.4,0
9789,599,france,male,35.0,6,0.0,1,1.0,0.0,2423.9,0
13931,635,france,female,50.0,2,141434.04,1,1.0,0.0,118929.64,0
51924,673,france,female,40.0,2,0.0,1,0.0,0.0,88890.05,0
109373,850,spain,male,37.0,6,108431.87,2,1.0,1.0,109291.39,0
73813,634,spain,male,69.0,8,0.0,2,0.0,1.0,142783.98,0
20681,590,spain,female,38.0,1,0.0,1,1.0,0.0,132418.59,0
79411,684,france,male,30.0,2,0.0,2,1.0,1.0,137060.88,0
16846,850,france,male,55.0,6,0.0,2,1.0,1.0,944.41,0
102500,653,france,female,35.0,6,131354.26,1,1.0,1.0,27509.9,0
29128,738,france,male,39.0,7,0.0,2,1.0,1.0,3769.71,0
104290,731,france,female,32.0,1,102779.71,1,1.0,0.0,134936.96,0
103094,739,spain,male,40.0,1,0.0,1,1.0,0.0,193321.3,0
26650,682,france,male,40.0,9,0.0,2,0.0,0.0,182705.05,0
16380,581,france,male,28.0,4,0.0,2,1.0,1.0,93777.15,0
28397,725,france,male,27.0,6,111168.97,1,1.0,0.0,142170.44,0
84016,751,germany,female,31.0,5,143930.92,1,1.0,1.0,46630.47,0
4269,705,france,female,34.0,2,102782.32,1,1.0,1.0,140764.11,0
109984,703,germany,male,32.0,3,116755.5,2,1.0,1.0,16081.62,0
106781,779,spain,male,33.0,4,0.0,2,1.0,0.0,30804.68,0
82421,529,spain,male,36.0,3,0.0,2,1.0,0.0,168080.53,0
106959,686,germany,male,38.0,4,146587.71,1,1.0,1.0,49480.66,0
36073,507,france,male,36.0,4,120105.43,1,1.0,0.0,36051.46,0
31547,562,france,female,30.0,1,0.0,2,1.0,1.0,182784.11,0
100671,651,france,male,36.0,1,0.0,1,1.0,1.0,52820.13,0
89070,634,france,male,43.0,9,154584.65,1,1.0,0.0,148537.97,0
87263,637,france,female,38.0,7,0.0,1,1.0,1.0,79577.38,0
71549,696,germany,female,28.0,9,111962.99,2,1.0,1.0,104648.58,0
64349,564,germany,male,29.0,8,145387.32,1,1.0,0.0,153662.88,0
22909,585,france,male,30.0,10,0.0,1,1.0,0.0,177843.58,0
102418,581,france,male,36.0,2,90612.84,1,1.0,0.0,182336.22,0
77415,595,france,male,37.0,1,0.0,2,1.0,1.0,607.17,0
75077,711,france,male,40.0,9,0.0,2,1.0,0.0,115753.94,0
83813,678,france,male,26.0,3,0.0,2,1.0,0.0,107949.59,0
21990,691,spain,male,25.0,3,0.0,1,1.0,1.0,144413.92,0
102006,732,germany,male,39.0,6,152182.83,2,0.0,0.0,161203.6,0
85350,633,france,male,37.0,1,0.0,2,0.0,1.0,100507.81,0
106323,753,france,female,37.0,4,0.0,2,1.0,1.0,79304.38,0
51240,668,france,male,35.0,9,0.0,1,1.0,0.0,41291.73,0
